Energy_eV,Experimental_Abs,Total_Model,Vib_0-0,Vib_0-1,Vib_0-2,Vib_0-3,Vib_0-4
2.933939049782320563e+00,5.865972014309731725e-02,3.065366428609776314e-10,3.390794214543457877e-47,1.344823139123388029e-34,2.613185031324497924e-24,3.320635158777953326e-16,3.065363107974591452e-10
2.928465153626337081e+00,5.888339264379583576e-02,4.623953130795104127e-10,9.296849617231303073e-47,3.175567887737726201e-34,5.314345970093976712e-24,5.816018194932764713e-16,4.623947314776856009e-10
2.923080549727729238e+00,5.999205756754164703e-02,6.895964051416984053e-10,2.495672474970528934e-46,7.359585541516068393e-34,1.063318829852566297e-23,1.004668153656433751e-15,6.895954004735341814e-10
2.917647058823529260e+00,6.084212263751928584e-02,1.027316981979486130e-09,6.727982892469401021e-46,1.710611538890879224e-33,2.130903882616550434e-23,1.735908365455949512e-15,1.027315246071099362e-09
2.912302127859458079e+00,6.196358119508035139e-02,1.513509607688573644e-09,1.776458187334994481e-45,3.903659205046810206e-33,4.202776425459639999e-23,2.959052115989839634e-15,1.513506648636415555e-09
2.906976744186046346e+00,6.227742334369821414e-02,2.216514621848574687e-09,4.652679103462665520e-45,8.841013908473346922e-33,8.230951968769795556e-23,5.011312138085753464e-15,2.216509610536354611e-09
2.901602901602901241e+00,6.321263811091233642e-02,3.242353771479638882e-09,1.223637789741029811e-44,2.007980881317863393e-32,1.614421135953329182e-22,8.488461058941335738e-15,3.242345283018418597e-09
2.896316539368883447e+00,6.356970955678069302e-02,4.692427752812071427e-09,3.153572489837008422e-44,4.479753024278812663e-32,3.117865787977581042e-22,1.419113311607415970e-14,4.692413561678644011e-09
2.890982001305604676e+00,6.499730657928261268e-02,6.783029838839944544e-09,8.160665114490391325e-44,1.002190718327592764e-31,6.030159866840859799e-22,2.372821387862687396e-14,6.783006110625463904e-09
2.885734233185943687e+00,6.611274887660856248e-02,9.703133801928466282e-09,2.070126498960185230e-43,2.203046648520025650e-31,1.148697415644853248e-21,3.916938963929518248e-14,9.703094632537680092e-09
2.880505482252369465e+00,6.770733477923097932e-02,1.380156162601303792e-08,5.210681621273362977e-43,4.807825895312936020e-31,2.173499654923256127e-21,6.425857048937873647e-14,1.380149736744037482e-08
2.875228974888121236e+00,6.828610980677686515e-02,1.960697859362637612e-08,1.316807812322402920e-42,1.052053805677855299e-30,4.118240248963663950e-21,1.054259423354550570e-13,1.960687316767992340e-08
2.870038190024302605e+00,6.844354998359168663e-02,2.757546238578823198e-08,3.263743403383709729e-42,2.263127043764447090e-30,7.688852462065761456e-21,1.708353050738612995e-13,2.757529155047546992e-08
2.864799926069679703e+00,6.910881475586756750e-02,3.873345875045941277e-08,8.121042274570790140e-42,4.881118296963066525e-30,1.437434521359601088e-20,2.768354796752753828e-13,3.873318191496536180e-08
2.859646695263133420e+00,7.052861976815844036e-02,5.387516212730241107e-08,1.982508739351661887e-41,1.035249772215208314e-29,2.648730896584391511e-20,4.431970728471027626e-13,5.387471893020307970e-08
2.854511970534070020e+00,7.146051234947327357e-02,7.453079534382355578e-08,4.803810977983353444e-41,2.180508348813303658e-29,4.849463980707815552e-20,7.053383214810174105e-13,7.453009000545358382e-08
2.849330177623566662e+00,7.137080294090819566e-02,1.029703983810046471e-07,1.168469758918569221e-40,4.604402337029813795e-29,8.889855225688544369e-20,1.122497255326249630e-12,1.029692758836604175e-07
2.844232401312016822e+00,7.288541742866966322e-02,1.409247338008175960e-07,2.789742649782359104e-40,9.565323535767173155e-29,1.606949724019441145e-19,1.765531567266126785e-12,1.409229682690896490e-07
2.839152833428734812e+00,7.384990957510857712e-02,1.918554590433575425e-07,6.612407312776852474e-40,1.973743279804135769e-28,2.886624532849411274e-19,2.760971320123799426e-12,1.918526980717487270e-07
2.834026603281985413e+00,7.445820774961733890e-02,2.608369938524673479e-07,1.573168165383610326e-39,4.082711638553570936e-28,5.191493430201968025e-19,4.317270668780385178e-12,2.608326765812794368e-07
2.828983391129768155e+00,7.561338271271045297e-02,3.514124026803077724e-07,3.675426837130022481e-39,8.312043023941643155e-28,9.210416737835723078e-19,6.674604343708116042e-12,3.514057280750430522e-07
2.823958096105670723e+00,7.618482931882397668e-02,4.710232062778601864e-07,8.526448588492328771e-39,1.681151993517513389e-27,1.624122296017409358e-18,1.026139960019761099e-11,4.710129448766358678e-07
2.818950622897153924e+00,7.726966264703132026e-02,6.281538859463046603e-07,1.964183421467292400e-38,3.378087341339570454e-27,2.846650154028580168e-18,1.568826128187773373e-11,6.281381976821761253e-07
2.813897020446138875e+00,7.801168684426129651e-02,8.365081302126503845e-07,4.541119436724857858e-38,6.803855035405878506e-27,4.994856609436896084e-18,2.398114287489757721e-11,8.364841490647807083e-07
2.808925133084154702e+00,7.849893888525466545e-02,1.104399457069205138e-06,1.031624390995484459e-37,1.349539291297709182e-26,8.650211852659035257e-18,3.626170277098671117e-11,1.104363195357783719e-06
2.803970784433439611e+00,7.927463407081403179e-02,1.450919594185044599e-06,2.327607251724736983e-37,2.659826516029589735e-26,1.489277497856435936e-17,5.453553020532289884e-11,1.450865058639946773e-06
2.799033881853682626e+00,8.083720878969313794e-02,1.896889439658985191e-06,5.216172552946672421e-37,5.209331715059373041e-26,2.549131301547757182e-17,8.158030905433791610e-11,1.896807859324439472e-06
2.794051374493014883e+00,8.113051879587644677e-02,2.476248487954901666e-06,1.173030675010010018e-36,1.022551913155233928e-25,4.367600706911152049e-17,1.220070148304487473e-10,2.476126480896395295e-06
2.789149309460614568e+00,8.281598404410066283e-02,3.206193317987357197e-06,2.593559154213408486e-36,1.977750542653616841e-25,7.389751684352115260e-17,1.805817393581630924e-10,3.206012736174101612e-06
2.784264415304472884e+00,8.313488515350260510e-02,4.131681703838854831e-06,5.696527063789067797e-36,3.801792341779005681e-25,1.243228633991775009e-16,2.658891454373202211e-10,4.131415814569095108e-06
2.779396601963509461e+00,8.399459035661012429e-02,5.299382379205603018e-06,1.243011595359980038e-35,7.263713816688064865e-25,2.079831058499427378e-16,3.894804988914408609e-10,5.298992898498727780e-06
2.774483699908262935e+00,8.536709167289700806e-02,6.786584392987180143e-06,2.721477342471938260e-35,1.390782388886260099e-24,3.482577962121585547e-16,5.703378333007951319e-10,6.786014054805620941e-06
2.769649996649616863e+00,8.640235719610891985e-02,8.623917773960140348e-06,5.861468602450397989e-35,2.625249010945790781e-24,5.761335446735865237e-16,8.269263168906808130e-10,8.623090847067116363e-06
2.764833106646747751e+00,8.735895342509250594e-02,1.090880194363968819e-05,1.254381044849715178e-34,4.926090876840637364e-24,9.479061536420658389e-16,1.192945428572891358e-09,1.090760899726320945e-05
2.760032942328666472e+00,8.866785547028069314e-02,1.373685896869715889e-05,2.667452755404999317e-34,9.189180591494383067e-24,1.551130033716105819e-15,1.712431677155784636e-09,1.373514653546887333e-05
2.755249416731474277e+00,8.910692544907347634e-02,1.722084327581183439e-05,5.636777345932392156e-34,1.704179164898055159e-23,2.524598796079968982e-15,2.446044904771257879e-09,1.721839722838246065e-05
2.750421435542543147e+00,9.003039398247503211e-02,2.155350592071639745e-05,1.195000114386907098e-33,3.166866370374445883e-23,4.112308329844216798e-15,3.492511605891561717e-09,2.155001340499819980e-05
2.745671139453522702e+00,9.075696113831030476e-02,2.678113930097172462e-05,2.493840793452461117e-33,5.805353659694830383e-23,6.621923329892136210e-15,4.940116288254890355e-09,2.677619917806154515e-05
2.740937223695844693e+00,9.213114572029250382e-02,3.313232825073754564e-05,5.172534874174973720e-33,1.058170609149171207e-22,1.060729959638163100e-14,6.954290526027796047e-09,3.312537394960421818e-05
2.736219603689483026e+00,9.281023841738526847e-02,4.081357464082707975e-05,1.066335542180970583e-32,1.917924929487820131e-22,1.690314653385658870e-14,9.743245694347135901e-09,4.080383137822958810e-05
2.731518195435721275e+00,9.422879847836569678e-02,5.006162212863545348e-05,2.185051723829219090e-32,3.456822175168030357e-22,2.679735591903958669e-14,1.358652157262778706e-08,5.004803558026546517e-05
2.726832915512160671e+00,9.510882171008104569e-02,6.114634306632762506e-05,4.450700390209498926e-32,6.196014602650528392e-22,4.226661265050700587e-14,1.885754577830269518e-08,6.112748547828272317e-05
2.722163681067790719e+00,9.624035971512445720e-02,7.437361326693678646e-05,9.011872087406672421e-32,1.104480424223562778e-21,6.632897877785367109e-14,2.605269126118412719e-08,7.434756050934663056e-05
2.717450855777870267e+00,9.768001054288752427e-02,9.030736456415488014e-05,1.830296398458967378e-31,1.972453208261837856e-21,1.041587203861403431e-13,3.597409247667904529e-08,9.027139036751948161e-05
2.712813669080487600e+00,9.841171872421786149e-02,1.089347661053275166e-04,3.662508067973531440e-31,3.477784313297810802e-21,1.618198063317015544e-13,4.924558081251781199e-08,1.088855203626951925e-04
2.708192281651997213e+00,9.961481751484602132e-02,1.308713728053013470e-04,7.286492418416059999e-31,6.099139951111703182e-21,2.501641027376767798e-13,6.711030339355240258e-08,1.308042622517436942e-04
2.703586612885642726e+00,1.000081951500520067e-01,1.565938231752308433e-04,1.441324082001669842e-30,1.063956944757121750e-20,3.848523140835794679e-13,9.104859140000697711e-08,1.565027741989785399e-04
2.698996582722068549e+00,1.014438398128840735e-01,1.866264936060375661e-04,2.834837784318451891e-30,1.846240636149433506e-20,5.891927027971484809e-13,1.229806404289378011e-07,1.865035123764159262e-04
2.694422111644684037e+00,1.022800594524379270e-01,2.215426972900529827e-04,5.544192280280842575e-30,3.186988304683527443e-20,8.977035339332445800e-13,1.653853320466921700e-07,2.213773110603027376e-04
2.689863120675068942e+00,1.030034562242446716e-01,2.619652747464315144e-04,1.078230785853225904e-29,5.472924804430195024e-20,1.361252930435408806e-12,2.214476174210462600e-07,2.617438257677574950e-04
2.685319531368430379e+00,1.052288780195714119e-01,3.085664738262085477e-04,2.085298503366206541e-29,9.350268825758168284e-20,2.054437177710050344e-12,2.952403528609487408e-07,3.082712314189103376e-04
2.680791265809101542e+00,1.052811413728387546e-01,3.620670195188398742e-04,4.010765772801240916e-29,1.589325675501124192e-19,3.086119270911935044e-12,3.919474426134385693e-07,3.616750689901069172e-04
2.676278246606090594e+00,1.064289524377463048e-01,4.232342794676295736e-04,7.671994061678005071e-29,2.687845460699948675e-19,4.614406393570470367e-12,5.181362088428778421e-07,4.227161386443800575e-04
2.671780396888668641e+00,1.072127216956936663e-01,4.928794400887529783e-04,1.459587890432285405e-28,4.522895142388627025e-19,6.867830872041949956e-12,6.820880686284728454e-07,4.921973451522931300e-04
2.667297640302007000e+00,1.089623057719596722e-01,5.718536207578238210e-04,2.761927349277427829e-28,7.572994422387329024e-19,1.017515702160403658e-11,8.941978452004884283e-07,5.709594127374655222e-04
2.662829901002856214e+00,1.100878719323958865e-01,6.610428697641366124e-04,5.198440173933387109e-28,1.261756481768307010e-18,1.500712233225123055e-11,1.167453362688515663e-06,6.598754013943245508e-04
2.658377103655268581e+00,1.105808148821430525e-01,7.613620056077109299e-04,9.732653752796625657e-28,2.091982134489661368e-18,2.203460841487127422e-11,1.518008351805730588e-06,7.598439752212946246e-04
2.653939173426363762e+00,1.121169865122722126e-01,8.737472905777615272e-04,1.812614171961693788e-27,3.451695548426994398e-18,3.220931881868594424e-11,1.965863103013409996e-06,8.717813952654259336e-04
