Energy_eV,Averaged_Absorbance
1.650736175084533741e+00,2.363581855008900501e-01
1.649089675900682339e+00,2.343061105465187033e-01
1.647446457990115354e+00,2.325950911386519271e-01
1.645806511553827178e+00,2.306400802340055622e-01
1.644169826831791026e+00,2.287537395739331902e-01
1.642536394102764641e+00,2.266851613063013138e-01
1.640906203684099118e+00,2.249482937054727016e-01
1.639279245931547058e+00,2.229538202601223373e-01
1.637633883173311711e+00,2.212023067744622318e-01
1.636013404754993683e+00,2.198222544701190495e-01
1.634396130171743344e+00,2.192335636194437942e-01
1.632782049931528423e+00,2.173746859056346903e-01
1.631171154579776017e+00,2.154578959061345944e-01
1.629563434699187630e+00,2.136188062666558030e-01
1.627958880909556205e+00,2.121257349304879469e-01
1.626357483867582943e+00,2.111602885072439706e-01
1.624759234266696328e+00,2.093376600605109383e-01
1.623164122836871837e+00,2.082472854118251060e-01
1.621572140344453183e+00,2.070954363218725502e-01
1.619983277591973136e+00,2.057592363158850246e-01
1.618397525417977212e+00,2.043645160490620560e-01
1.616814874696847149e+00,2.032067449240286816e-01
1.615235316338626159e+00,2.019812573455971594e-01
1.613658841288844847e+00,2.006108588382388425e-01
1.612106399022335657e+00,2.001630918169506057e-01
1.610536022755315599e+00,1.987947053347983439e-01
1.608968702963616604e+00,1.976605778244437672e-01
1.607404430732535694e+00,1.959114123669125351e-01
1.605843197182004189e+00,1.949186462757034888e-01
1.604284993466420062e+00,1.938335282079866051e-01
1.602729810774480512e+00,1.928860421120868751e-01
1.601177640329016327e+00,1.921481100772251260e-01
1.599628473386826455e+00,1.906743859785955120e-01
1.598082301238513914e+00,1.893133010226653867e-01
1.596559671417719262e+00,1.887924800696673400e-01
1.595019423220395804e+00,1.882212093172747902e-01
1.593482144004523482e+00,1.876684144820467415e-01
1.591947825193858357e+00,1.867620521618563456e-01
1.590416458245154985e+00,1.858555553842846098e-01
1.588888034648010095e+00,1.848900787265457257e-01
1.587362545924702717e+00,1.839695933864711475e-01
1.585860265247918566e+00,1.827981069190776076e-01
1.584340582117394591e+00,1.822077470781749420e-01
1.582823808733613280e+00,1.812279083269868751e-01
1.581309936747602674e+00,1.808939241159001898e-01
1.579798957842300400e+00,1.805248761399358415e-01
1.578310952714313098e+00,1.799582380038417528e-01
1.576805696846388605e+00,1.791727586721113541e-01
1.575303309407355634e+00,1.784397789067138640e-01
1.573803782205863699e+00,1.772263714591342798e-01
1.572327044025157328e+00,1.764904447051087455e-01
1.570833174983214953e+00,1.755674614876899797e-01
1.569342141898903975e+00,1.745594328469435019e-01
1.567853936704219242e+00,1.739562263244814611e-01
1.566388337986180490e+00,1.741112510833287552e-01
1.564905727050152739e+00,1.740781549175237641e-01
1.563425920088762355e+00,1.728757823518135561e-01
1.561968584277022787e+00,1.720004144168686133e-01
1.560494324331126892e+00,1.712638638313928319e-01
1.559022844713781053e+00,1.702453994997422670e-01
1.557573702126590520e+00,1.692107432398508859e-01
1.556107722812037242e+00,1.690456540134932517e-01
1.554644500445079736e+00,1.685190527593584675e-01
1.553203482182000439e+00,1.680693548480623190e-01
1.551745713928169179e+00,1.675591892827640594e-01
1.550290679502406732e+00,1.671370401728049793e-01
1.548857717433392844e+00,1.665496151428695615e-01
1.547408091446826450e+00,1.663949540525910264e-01
1.545961176426585482e+00,1.658761707600142354e-01
1.544536203181246181e+00,1.657376607171008875e-01
1.543094651434829156e+00,1.646900109883635832e-01
1.541674955241694844e+00,1.644525985488155539e-01
1.540238737004235636e+00,1.643904607080236280e-01
1.538805192226551766e+00,1.637138086954396110e-01
1.537393374330490170e+00,1.623590627001208486e-01
1.535965118727626422e+00,1.624639822304344561e-01
1.534558505043004839e+00,1.620655162273761662e-01
1.533135509396637008e+00,1.612739602836882891e-01
